Sample,Treatment
NP-032-522-716_F_filt.fastq.gz,Zooplankton/Week 1
NP-034-502-716_F_filt.fastq.gz,Zooplankton/Week 1
NP-041-513-718_F_filt.fastq.gz,Artemia/Week 2
NP-042-515-718_F_filt.fastq.gz,Artemia/Week 2
NP-043-516-718_F_filt.fastq.gz,Artemia/Week 2
NP-044-517-718_F_filt.fastq.gz,Artemia/Week 2
NP-045-518-719_F_filt.fastq.gz,Artemia/Week 2
NP-046-520-719_F_filt.fastq.gz,Artemia/Week 2
NP-047-521-719_F_filt.fastq.gz,Artemia/Week 2
NP-048-522-719_F_filt.fastq.gz,Artemia/Week 2
NP-049-502-719_F_filt.fastq.gz,Artemia/Week 2
NP-050-503-719_F_filt.fastq.gz,Artemia/Week 2
NP-051-505-719_F_filt.fastq.gz,Zooplankton/Week 2
NP-052-506-719_F_filt.fastq.gz,Zooplankton/Week 2
NP-053-507-719_F_filt.fastq.gz,Zooplankton/Week 2
NP-054-508-719_F_filt.fastq.gz,Zooplankton/Week 2
NP-055-510-719_F_filt.fastq.gz,Zooplankton/Week 2
NP-056-511-720_F_filt.fastq.gz,Zooplankton/Week 2
NP-057-513-720_F_filt.fastq.gz,Zooplankton/Week 2
NP-058-515-720_F_filt.fastq.gz,Zooplankton/Week 2
NP-059-516-720_F_filt.fastq.gz,Zooplankton/Week 2
NP-060-517-720_F_filt.fastq.gz,Zooplankton/Week 2
NP-061-518-720_F_filt.fastq.gz,Zooplankton/Week 2
NP-062-520-721_F_filt.fastq.gz,Zooplankton/Week 2
NP-063-521-720_F_filt.fastq.gz,Zooplankton/Week 2
NP-064-522-720_F_filt.fastq.gz,Zooplankton/Week 2
NP-065-502-720_F_filt.fastq.gz,Zooplankton/Week 2
NP-066-503-704_F_filt.fastq.gz,Zooplankton/Week 3
NP-067-505-721_F_filt.fastq.gz,Zooplankton/Week 3
NP-068-506-721_F_filt.fastq.gz,Zooplankton/Week 3
NP-069-507-721_F_filt.fastq.gz,Zooplankton/Week 3
NP-070-508-721_F_filt.fastq.gz,Zooplankton/Week 3
NP-071-510-721_F_filt.fastq.gz,Zooplankton/Week 3
NP-072-511-721_F_filt.fastq.gz,Zooplankton/Week 3
NP-073-513-721_F_filt.fastq.gz,Zooplankton/Week 3
NP-074-515-704_F_filt.fastq.gz,Zooplankton/Week 3
NP-075-516-721_F_filt.fastq.gz,Zooplankton/Week 3
NP-076-517-721_F_filt.fastq.gz,Zooplankton/Week 3
NP-077-518-721_F_filt.fastq.gz,Zooplankton/Week 3
NP-078-522-722_F_filt.fastq.gz,Zooplankton/Week 3
NP-080-520-722_F_filt.fastq.gz,Zooplankton/Week 3
NP-081-502-722_F_filt.fastq.gz,Zooplankton/Week 3
NP-083-505-722_F_filt.fastq.gz,Zooplankton/Week 3
NP-084-506-722_F_filt.fastq.gz,Zooplankton/Week 3
NP-085-507-722_F_filt.fastq.gz,Zooplankton/Week 3
NP-086-508-722_F_filt.fastq.gz,Zooplankton/Week 3
NP-087-510-722_F_filt.fastq.gz,Artemia/Week 3
NP-088-511-722_F_filt.fastq.gz,Artemia/Week 3
NP-090-515-723_F_filt.fastq.gz,Artemia/Week 3
NP-091-516-723_F_filt.fastq.gz,Artemia/Week 3
NP-093-518-728_F_filt.fastq.gz,Artemia/Week 3
NP-094-520-728_F_filt.fastq.gz,Artemia/Week 3
NP-095-521-728_F_filt.fastq.gz,Artemia/Week 3
NP-096-522-728_F_filt.fastq.gz,Artemia/Week 3
NP-097-502-723_F_filt.fastq.gz,Artemia/Week 3
NP-098-503-723_F_filt.fastq.gz,Artemia/Week 3
NP-099-505-723_F_filt.fastq.gz,Artemia/Week 3
NP-102-508-724_F_filt.fastq.gz,Artemia/Week 3
NP-103-510-724_F_filt.fastq.gz,Artemia/Week 3
NP-104-511-724_F_filt.fastq.gz,Artemia/Week 3
NP-105-513-724_F_filt.fastq.gz,Artemia/Week 3
NP-106-515-724_F_filt.fastq.gz,Artemia/Week 3
NP-120-502-727_F_filt.fastq.gz,Zooplankton/Week 4
NP-121-503-727_F_filt.fastq.gz,Zooplankton/Week 4
NP-122-505-727_F_filt.fastq.gz,Zooplankton/Week 4
NP-123-506-727_F_filt.fastq.gz,Zooplankton/Week 4
